id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,sociable,maxDegree,cigLimit
n260,false,0.18585046838816066,0.9037905894571847,42,true,2,0.7473141106501607,0.07574629691719581,10,70
n266,false,0.13701920945125215,0.677743584666651,43,true,2,0.8050625304847094,0.4726275460391892,10,70
n267,false,0.5977774890523119,0.7008054474460543,52,true,49,0.10841215524401195,0.20032685677901313,10,70
n271,false,0.21392333762856952,0.6537510267621212,0,false,0,0.43474063977085,0.7679526337390489,10,70
n272,true,0.8761852246412433,0.7108804225644777,11,false,0,0.4368273916435387,0.7007246238391218,10,70
n276,true,0.7500435816379882,0.9259830396687944,12,false,0,0.7016996566837725,0.2699781263425976,10,70
n277,false,0.41328797544228274,0.5897579704807621,16,true,12,0.3842697518206285,0.2829536818854053,10,70
n283,true,0.6450482559135389,0.8160038266853247,12,false,0,0.09112293465125121,0.6026835617219757,10,70
n293,true,0.6104293101315634,0.40901272245927633,12,false,0,0.23514911112825582,0.8468805696191206,10,70
n295,true,0.3951587904638694,0.8410855427070745,51,true,26,0.4072614070423815,0.3436374939816928,10,70
n298,true,0.8151042946799156,0.3824034265886447,13,false,0,0.4566866220778065,0.14669691125154682,10,70
n301,false,0.6172348873623359,0.47794968886727585,0,false,0,0.3335920521971054,0.3827957963165164,10,70
n306,true,0.47947335214442893,0.9316247934072099,48,true,57,0.1932367592920603,0.8978291079988023,10,70
n307,true,0.8876847584194312,0.5385994625088449,11,false,0,0.8577738102620136,0.7311172880693213,10,70
n313,true,0.45927806351910283,0.3700237695536248,11,false,0,0.5555909475686978,0.39989342968446495,10,70
n317,true,0.5991319285240264,0.6772220887682402,11,false,0,0.6270725841892323,0.8284893580405234,10,70
n318,false,0.30890920567873736,0.7052379773960297,0,false,0,0.5679164280108236,0.8123379674134795,10,70
n320,false,0.5304018234880602,0.605604772669639,63,true,6,0.33868608259199345,0.44593264291734125,10,70
n326,false,0.6619675564920111,0.33192490825678456,53,true,29,0.07532422092472715,0.8083808146732118,10,70
n334,true,0.2768100193132254,0.5977092589431813,43,true,30,0.3548181741371049,0.6180613559530018,10,70
n339,false,0.6324878988551627,0.4294307978831919,0,false,0,0.3776002744517697,0.28343442022082754,10,70
