id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,persuasiveness,sociable,maxDegree,cigLimit
n83,true,0.7925449533601532,0.9291419764722697,16,true,19,0.6451356173573334,0.713357792398644,0.36351428735209124,10,70
n84,true,0.4918626098348805,0.7582374398425987,14,true,19,0.9264500325124945,0.6195207206654991,0.6598162607440188,10,70
n99,true,0.035421937417119465,0.5312779128114655,11,false,0,0.24110314704074992,0.056363104024020116,0.6225933217459632,10,70
n101,false,0.35859512139885774,0.6892560061429446,0,true,19,0.10027501917577308,0.9813672094728476,0.6519146554682016,10,70
n103,true,0.843584438890685,0.5008345424819907,13,false,0,0.9695167999277268,0.2601948700356176,0.32309395029641036,10,70
n107,true,0.08585748394213788,0.4524813666691814,23,true,2,0.8438811010862417,0.11876270018331009,0.44905342371945256,10,70
n110,false,0.6583192708557561,0.1925744180113776,0,false,0,0.49139512021770815,0.3087727544796467,0.8884205208293454,10,70
n113,true,0.08444746336347642,0.5391971754731265,12,false,0,0.506135866972448,0.6141938473749899,0.29857367808018986,10,70
n117,true,0.40735979888622437,0.6514226696250135,20,true,18,0.24641223172200094,0.1435048520736572,0.4788175708726143,10,70
n118,false,0.16779800359660096,0.4817734429922757,13,true,2,0.721056997333004,0.1696246242094384,0.6162260651384057,10,70
n120,true,0.147857206086901,0.474955788417928,18,true,14,0.8209010682443602,0.8417108060646523,0.31898119517817974,10,70
n127,true,0.41272297399604974,0.6986393581078431,13,true,13,0.5062476369522373,0.4352286964976097,0.7226316982695781,10,70
n131,true,0.17044128157153313,0.5602793712806187,17,true,19,0.6555671584783447,0.667980045897714,0.6850140047645787,10,70
n133,true,0.39408145403147915,0.5459798803071937,12,false,0,0.6325391098622297,0.25521949406957034,0.4648232039343644,10,70
n135,true,0.024272499902756872,0.7604093155155586,13,false,0,0.2504870182109359,0.34731629859796737,0.5763603780201816,10,70
n136,true,0.4020240927575058,0.8891672688458921,16,false,0,0.5352362718280672,0.42113160980326003,0.8005993823128728,10,70
n137,true,0.3804676954631417,0.48891967921174656,12,false,0,0.0788975275599198,0.19692351000106512,0.8657280436283425,10,70
n139,true,0.03643050067589404,0.5137766008570627,12,false,0,0.36236897079025476,0.37757338539692664,0.8458343131503183,10,70
n143,false,0.3232971914278169,0.5019631904998205,15,true,13,0.34928019066514715,0.2048599155576536,0.48886130916929005,10,70
n146,true,0.0010586755075499554,0.6019441489692228,12,false,0,0.07642868952161325,0.4682714825421915,0.5137400914966118,10,70
n147,true,0.08873008101238883,0.7197207712961073,31,true,19,0.3495305757109445,0.4788630106599002,0.6849205127696588,10,70
n150,true,0.6877791636613502,0.7367102234516767,23,true,19,0.8213480935048654,0.8106445355324969,0.3114664612361829,10,70
n152,false,0.9401986209866419,0.9948939214305531,0,false,0,0.00822386992802779,0.6871748075073012,0.7723889493390589,10,70
n153,true,0.28162780027831824,0.5683920820176559,12,false,0,0.37289500764773065,0.14821219872317704,0.9741381617139004,10,70
